dataset_id	sample_id	method_id	K	x	y	domain_label	notes	seed
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	15953.97380671277	6945.197864815076	1	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11839.874510074187	4257.3651261491	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12703.8023218242	4159.579570226924	5	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11208.82839290055	4588.09750029691	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13604.812382587455	3664.455361417157	6	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	14286.71969566487	5711.90879012321	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	15478.038178379253	6003.667067793029	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	14246.246700258049	5950.701722820544	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13011.280437059457	7880.532232638231	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13662.239109962204	4218.391029671111	6	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	10176.227106736073	5323.963346627916	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	10186.399345916829	5799.600507198687	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12882.86399673562	6138.478015369296	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	14978.58328660684	6093.657804419606	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13446.52710866995	6919.514387377188	6	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11009.638200943822	3799.266308993419	5	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12616.506760855786	8602.75714520194	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	15130.518990369575	6804.190488039916	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11141.661348977445	7841.20782143304	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	14080.748010920972	4605.986158439205	6	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11283.208852243224	5934.761769502149	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13767.136286847146	6991.966780588668	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12204.77935268419	8532.25345681436	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13385.925596217818	8348.374573913403	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12238.038932671445	3693.6859337756505	5	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13415.794429811483	3351.2613306844414	1	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12741.31649346984	8044.924067300187	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	14273.37267140673	7219.067484342605	3	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12912.948791645484	3282.706347120762	1	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12578.99258921015	4717.412648128678	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	13652.06687078145	3742.753869100336	6	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	12646.591555765654	5746.985476953402	2	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11313.725569785493	7361.673251214466	4	baseline-domain-map	
GSE311294	GSM9322959_TR11_18105	M0_expr_kmeans	6	11225.998086184676	7522.167676228627	4	baseline-domain-map	
